count	reward_sum	squared_reward_sum	length
153	-85.41252643589738	10005.139542017147	94
154	-87.62178156733646	10004.124843976924	97
155	-83.92452693913964	10004.278695373656	122
156	-87.13922854275908	10005.777350457733	141
157	-86.65143660476602	10003.959305029859	92
158	-82.1741342641227	10005.451821154325	154
159	-78.0652344425534	10006.657950422437	128
160	-81.49066508549103	10006.808577769849	110
161	-85.25665977537648	10004.222826720596	95
162	-89.02277981057017	10004.756479836387	116
163	-82.72983457543877	10005.310013149536	104
164	-88.94243051185458	10005.981280071153	98
165	-68.93245499769895	10012.585808208905	151
166	-78.87944479648765	10008.998454096067	138
167	-82.96141563798348	10006.261815687612	108
168	-91.89453873638351	10004.739365198857	126
169	-83.47464008675973	10007.090794287282	146
170	-78.34674891120831	10009.04978400013	135
171	-89.64740250224884	10005.42263954205	94
172	-85.9650086536549	10006.87474349488	128
173	-89.04482162327754	10005.252683796129	107
174	-57.929648354627695	10017.493037409558	249
175	-81.20210341255671	10009.515625330265	172
176	-83.12951198634117	10007.361724960525	117
177	-73.61472086145847	10008.798422140211	155
178	-86.68225544611349	10008.270952132814	136
179	-94.64130418624403	10005.14269932149	94
180	-73.18767238656967	10007.584438172635	183
181	-88.72829082770195	10006.905819314377	100
182	-74.26167597164422	10010.51741311818	139
183	-60.56410283330506	10013.667073414232	261
184	-85.4708133667498	10007.60919123974	124
185	-54.98609061121731	10020.040363042	192
186	-90.68242377364176	14.920099155665465	2000
187	-81.23807202059652	10005.904906267935	136
188	-73.53914526823715	10007.22986748983	177
189	-80.02681156461519	10007.52676560797	243
190	-79.08705563495774	11.909453379383484	2000
191	-85.71686078159644	10006.195278117435	95
192	-65.04427143572278	10009.467326573891	216
193	-78.89751587429433	10007.414308781032	118
194	-88.22340078486172	10005.393127437204	176
195	-55.26631310864344	10016.669431555392	195
196	-77.88020724799014	10006.26800523335	145
197	-50.87131859273951	10014.6629850058	254
198	-24.12511979520106	10026.208105687883	337
199	-70.99246366104721	10011.477666085013	142
200	-40.78796286269772	10021.669933361192	253
201	-71.5565052808153	10011.349061437226	141
202	-75.16543034566656	10010.44845544376	162
203	-80.47949794959665	10008.149128953004	140
204	-81.33749503696446	10005.119257234928	135
205	-18.29335094123624	10029.743160638325	298
206	-79.19612038847657	10005.710209053246	158
207	-93.45586206155447	10011.29876240534	275
208	-86.00998998226939	10003.661718811012	102
209	-74.31096816151835	10007.620162427851	136
210	-81.9777244655604	10005.951278241646	125
211	-95.47003278600013	10001.311310241279	86
212	-67.20999082094875	10011.780062932045	197
213	-72.528163438738	10010.471646664726	197
214	-82.64358904641463	10005.790877674797	171
215	-85.09524249786465	10005.505874850716	84
216	-59.12073582352782	11.831627508465063	2000
217	0.9972285723546577	10040.858647925821	361
218	-67.17627787506606	10008.950555746354	253
219	-37.90648472950066	10021.768066836325	285
220	-70.53203798469228	10008.969422784858	149
221	-19.804624546659113	10024.84428263416	355
222	-77.08490625733782	10007.704231954709	145
223	-75.60270748062634	10006.750777298614	145
224	-39.49774636264387	10021.109787844971	286
225	-69.85110692044937	10009.045776258547	178
226	-83.82446565885252	10005.704652088481	139
227	-76.56431706618781	10008.60452381185	134
228	-32.05023372723177	10021.959497308537	352
229	-54.900779272724265	10016.20080518682	193
230	-42.48878120677076	10018.161326731355	260
231	-38.82559058531758	10024.73115848177	269
232	-44.597844355999165	10018.556943361848	289
233	-85.11783219434241	10004.88076807691	158
234	-91.03502126381942	10006.872635293426	141
235	-43.373361694381245	10020.49068065953	284
236	-40.84685897095061	10017.642132711195	274
237	-59.507627370364425	10012.878096700524	208
238	-55.50205444696839	10013.949414902416	210
239	52.07153036032173	10050.336886077808	679
240	-57.219287998876965	10015.751045761343	186
241	-57.211558485554576	10012.998615701086	232
242	-67.09675829255083	10011.93753100627	152
243	49.89475877280887	10048.198045030469	627
244	-53.46100450856682	10014.92486988486	202
245	-74.27884330216611	10007.804904483144	151
246	-77.79119775498053	10007.91002652892	108
247	-86.63582478109656	10004.52284215829	127
248	-86.60658153254298	10005.209598902084	152
249	13.48887753994265	10039.129245846274	469
250	-3.538423943357998	10035.950154597618	392
251	-63.356067538783506	10013.659798710363	200
252	-75.06413113180719	10007.129838829118	135
253	0.03239645435098737	10035.912245304131	362
254	-34.63813606734388	10026.838462432792	215
255	-73.66749946656357	10007.609098622006	149
256	-30.264701712968915	10021.300991188451	317
257	-59.41793556093953	10011.02897301731	261
258	-49.12550812181347	10014.57541713261	266
259	-70.49300534056943	10009.43109365476	147
260	-73.84130560554959	10007.262773775014	146
261	-51.6041242477762	10018.211662051193	261
262	27.625805024076215	10043.37136788812	563
263	-29.06494030269741	10027.747921415124	248
264	-67.44160501425195	10007.912052801188	201
265	-85.90857132101932	10009.281907343931	184
266	-45.74528964037966	10016.551590846018	245
267	51.26659771426398	10056.195006001895	491
268	-49.255239294777915	10015.730592604346	218
269	-44.27111606816053	10015.471494815272	265
270	-15.23435565681541	10033.220033184727	270
271	-61.50418183398086	10021.941085637409	501
272	-48.95144341527584	10021.948736824585	172
273	-49.702668653043126	10016.663645092285	210
274	-63.96833271514525	10011.212249491067	235
275	-40.70981590409377	10017.22427507897	271
276	-37.667008414928034	10018.147914543482	281
277	0.45805630473225356	22.252359720578188	2000
278	-62.65250701733165	10009.71543737082	199
279	-6.970029346002107	10028.37762249538	411
280	-39.83743725316998	10020.007156737094	282
281	-43.39907456532695	10021.83912332621	197
282	-13.67831774897303	10024.073604482073	440
283	-60.956123941756815	10012.239596487603	210
284	-68.36475256584691	10009.212132462757	169
285	-26.051089739156268	10029.681579315658	269
286	20.69146869488418	33.33720938746654	2000
287	-77.72695219702725	10007.884944349058	104
288	-78.61276489699293	10005.71125746265	134
289	-71.24855411353482	10008.494869292072	149
290	-25.387191848978727	10.000128690950584	2000
291	-16.766552455871874	10026.920326638086	490
292	-67.86031285533696	10011.77674920511	186
293	-29.336331298335335	14.08065295765385	2000
294	-82.89551473140824	10006.165491175894	157
295	-87.06062013903177	10004.839973007272	133
296	-12.516152429670129	10029.88912838512	330
297	-73.78638699783603	10007.823463846606	150
298	-42.513197416201194	10017.367661400407	302
299	-34.623568825234514	10018.825685403066	296
300	-74.30313329468657	10008.029249424588	148
301	-80.2738192640801	10005.214594214016	129
302	-40.86341499765312	10022.705969915549	251
303	-83.20527412724493	10004.133206990977	155
304	-36.08121244896574	10018.007926022448	295
305	14.451111490618374	10037.24327928678	467
306	7.231106554900762	10041.386964390193	331
307	-87.90603102050528	10005.65726157208	131
308	-37.52019647696401	10025.480431713146	218
309	-81.91388240249765	10005.255156627501	141
310	-43.4493545850877	10018.033976626177	234
311	84.79475796604507	48.01596188589204	2000
312	-51.62117828809469	10021.186685375837	251
313	-63.0131752972217	10020.19948549602	325
314	-34.02014102995322	10026.587530792813	230
315	-18.18168835932987	10022.260985091956	431
316	-80.16366169106107	10005.60450911579	127
317	-14.167004413274896	10024.530656102605	372
318	-39.45525297233481	10023.073851861256	211
319	-72.27247936593504	10012.852618505121	265
320	-40.09117963100532	10022.423369896589	226
321	-68.69647991605814	10013.425817341471	194
322	-35.68268977415178	10024.371970205853	242
323	23.306803323968623	10043.902261693223	485
324	-85.03630871686377	10005.648749991078	152
325	49.97529894259861	10052.787830820276	648
326	-67.40557683612121	10011.763473621166	258
327	-88.50607629236633	10014.05487059031	378
328	-63.3402446961056	10014.052064172183	133
329	-47.09582664198395	10017.723143470159	204
330	-70.06932459300059	10011.974041644222	147
331	10.569326775947317	10034.717780425148	430
332	25.78160596827415	10041.629405473643	582
333	15.241504274487895	10038.884030602781	413
334	-80.93577572411904	10005.960637800987	137
335	-69.40662629398844	10010.59943950833	124
336	-59.158565481432404	10014.314439313697	212
337	-70.428792452903	10009.267166850099	139
338	26.816774679070306	10042.392214040032	546
339	-71.77349195588037	10010.686157490361	208
340	-67.80738873810571	10009.664185186815	155
341	-44.09837578955148	10023.134664086752	193
342	-66.99958407921241	10010.912957288405	139
343	-60.44822176572689	10012.002835309946	179
344	64.98691797461481	10059.892011671725	603
345	-82.74477718231819	10004.72635953237	137
346	22.9002339715678	10040.931147573256	503
347	-57.8257374497222	10017.109001831952	157
348	38.80229563949621	10051.77813924945	511
349	-8.452273566735002	10028.270965263271	498
350	-2.6364127934397743	10035.044710288192	354
351	14.41098705306274	10039.372156931482	400
352	-78.61063412516862	10006.73597669209	153
353	-78.59784068781899	10006.572464828627	114
354	-49.65899224341916	10019.34472561129	222
355	20.29111308566516	10053.0225315846	342
356	-34.4150103599013	10024.474384590972	218
357	-8.685588036341784	10032.359836249225	440
358	-58.960540863179475	10012.17959661794	199
359	-81.67818511438618	10006.192455542194	142
360	-53.85277249848552	10013.981993677307	202
361	-21.60425850894839	10025.1542314424	300
362	-73.40499010354705	10008.8872205367	121
363	270.6267413121463	116.32699712366585	2000
364	-61.195654486682955	10012.59437047757	192
365	60.98675335302937	10072.690702550044	748
366	-46.85961382002727	10019.81934747497	182
367	-36.34113317093998	10026.28721099057	200
368	-51.99011337525077	10016.741456367588	253
369	-37.69576374462846	10026.035345540018	195
370	-55.59066958186909	10019.2472118762	174
371	-35.89121067558294	10027.596591447485	197
372	-75.45433117313148	10007.197544745568	126
373	5.902828846235991	10033.279165112388	520
374	-42.97093476539397	10022.818902308614	194
375	-82.53314232582716	10004.941649496805	143
376	98.4049370624312	10084.94151918066	878
377	66.97981424909901	10057.497054845287	616
378	-82.07644502304944	10005.360279965671	136
379	-73.45749731531066	10008.20224296755	165
380	13.379890415759618	10037.794329460217	413
381	-32.4266587487663	10023.454158977718	252
382	-41.60779454419949	10019.990602098915	219
383	1.8337811010716223	10045.241687307205	300
384	132.340464983578	10089.217647508689	682
385	-79.66253598134536	10005.789339425959	129
386	-8.098153917488816	10048.8652601681	368
387	-13.20728881134184	10032.94025065839	286
388	-82.07930398856445	10005.249448206336	127
389	-56.10180375667137	10014.693909607904	184
390	-23.30608157928083	10031.13572262024	244
391	7.17498375082252	10046.567164369033	310
392	4.864496704877496	10034.995210401263	407
393	-23.865969199074684	10033.251304062855	219
394	-55.15142279612497	10018.637538816733	156
395	30.575881266603858	10048.650284631785	427
396	-43.243863138335506	10024.37131180299	177
397	196.4732345174727	10131.390359367939	765
398	-33.16614809239	10025.17165996267	288
399	-45.350696545323935	10019.950441743844	198
400	131.61653043810014	10104.596292976232	586
401	-29.229895584565583	10025.077131021093	255
402	-75.17234562361055	10007.405378039575	136
403	113.3561036776677	10091.06371674063	569
404	16.781711812676846	10054.161971641372	321
405	-35.375769857317664	10024.362944026394	247
406	19.535796649719146	10049.889364376204	335
407	-39.06380275673347	10026.387714403927	187
408	5.891518584701743	10039.80717790611	356
409	-76.0821592936772	10007.24732593087	126
410	-79.89603988755937	10005.807367944148	124
411	-37.45383052933528	10023.720530620845	213
412	-58.758767767902164	10014.698852420352	168
413	18.3164796445715	10047.926863905444	356
414	38.71750328466405	10062.291690215896	359
415	-39.91919639924166	10025.102711200752	182
416	-36.581675101587116	10021.157958190799	241
417	-68.489844505133	10011.867417912319	141
418	-39.986063014228115	10022.319624480162	205
419	-48.61099825189992	10016.063344084134	214
420	158.1255935743617	10113.081103818044	872
421	23.69954653576299	10046.803210419737	386
422	-28.79085594850814	10030.453733163862	215
423	170.76799912591343	10137.83836385063	1309
424	204.7858071748007	10126.592664532931	850
425	-45.17408639824267	10023.157381937404	187
426	-25.99197809827797	10024.636640800398	280
427	-69.78812936794463	10011.971088280858	137
428	-39.525114767227585	10025.060921413553	193
429	46.80766426321614	10058.395581125738	441
430	-37.363797807241404	10028.00480442633	286
431	16.923741936316574	10045.992331116513	345
432	-42.28708872482873	10019.240281128343	223
433	-8.635329546399916	40.654983755525656	2000
434	110.65622224211396	10099.745120124182	508
435	-47.92706347588067	10020.460648905058	171
436	-55.7095802384483	10018.231150317422	146
437	-6.672206712347801	10038.184792639247	276
438	-75.99876723437026	10007.499312696644	124
439	-7.189197028315263	10042.730885910622	248
440	-19.684657651597036	10030.517923038227	257
441	117.58050353512743	10097.670825592537	542
442	49.4950226581434	10057.734729354868	477
443	-28.10001845710366	10022.876518428617	300
444	-35.82799422012776	10029.777353496513	186
445	-13.557335208735623	10034.72249899002	274
446	-40.768106489902536	10027.330359990787	169
447	-40.66167595204844	10023.888688049234	194
448	-73.11363301011667	10009.193363469632	122
449	40.920683087968285	10056.746734639375	556
450	-61.3201165339855	10015.48962756363	139
451	112.78018514664237	10088.49365654753	583
452	1.62683043123306	10049.393963751088	256
453	-16.779664869587094	10036.415367645246	245
454	-84.30515892484135	10006.019292977962	114
455	103.21520840803561	10080.151957695996	571
456	-53.58139420640749	10015.694285110236	182
457	321.1192876643285	149.9296487173294	764
458	-31.11909490315921	10029.651294704958	207
459	-78.941378635063	10006.72171866112	118
460	-65.98043081511733	10013.899193388155	134
461	-13.563809812957558	10036.10616694113	287
462	-18.7652640048438	10034.884783144065	246
463	-71.40544880477776	10011.140410303818	122
464	-40.70763718247991	10022.056201956711	207
465	98.21611400248221	10084.691403255394	548
466	-22.202310841640852	10030.806955879174	251
467	175.27919140208246	10120.046460575299	726
468	105.77747620575352	10093.568360930114	505
469	12.490292116964042	10046.826490364094	318
470	-1.8396160538204356	10048.411107442424	244
471	-23.914974063653077	10032.85011917389	215
472	-1.1181619991213552	10043.871967377372	270
473	128.44743202308072	10101.743054802124	580
474	50.22802421119425	10063.867726878285	405
475	88.73311633785329	10098.260684242061	432
476	-29.293292752422175	10027.093294697872	280
477	-67.35307103503155	10010.95088572241	163
478	53.96440043254714	10073.668765081018	378
479	-77.12049534814517	10006.649237999107	131
480	12.497639360011789	10043.031315470587	344
481	-70.8232580597117	10009.898733856138	140
482	-74.37307225765744	10008.292700581525	122
483	12.067386950788318	10043.96984409667	361
484	-51.519957352544054	10017.584688245872	181
485	5.864065580116488	10043.201171025195	307
486	-63.4425932066824	10012.644796720519	188
487	-74.74655925774103	10007.758930228822	127
488	173.56220816240483	10107.699734665086	767
489	-63.1776494641315	10013.868543522516	143
490	-57.55729130702592	10018.267449905536	145
491	-42.69745918330218	10020.123119684005	209
492	75.27110411397587	10068.86738266416	528
493	28.108707129183642	10054.460652924668	365
494	51.38675048395831	10068.856670446587	400
495	44.382769737171316	10066.086362993938	370
496	-53.13858562225762	10016.652101576934	199
497	-18.842405729443186	10030.589654881884	268
498	52.28480858177417	10068.30848176727	395
499	-39.77259732921593	10026.063804507912	181
500	-65.74880296623911	10015.289041600576	135
501	-8.178661069503462	10035.42941243092	284
502	6.882978370338478	10041.926678318134	319
503	77.53180691709065	10075.99990686964	487
504	-72.11931162128559	10009.16961684396	126
505	-37.72564267933189	10026.49402981136	193
506	-66.69656553629632	10012.639987649776	138
507	-75.76453234330303	10007.54446792413	145
508	-48.94533896443341	10019.842159168576	180
509	93.41268125476995	10078.9820881521	566
510	167.88882639830769	10121.235168190497	681
511	0.9523785815854922	10042.45250002358	300
512	316.30314157788524	128.82851474622046	892
513	50.206530171388266	10066.608969679373	401
514	134.64801862331618	10106.49959778895	577
515	26.623425764243237	10054.581223779694	349
516	110.63966548146982	10077.176050293798	659
517	64.77337454604708	10077.976833176506	425
518	-23.934207052274346	10032.775992011191	225
519	-54.867635937679005	10018.329640070811	153
520	26.53715144201803	10058.23899981863	330
521	52.58652717052388	10070.965112383537	426
522	-51.501727956677335	10017.145164410187	187
523	148.5870656020368	10103.689076917917	702
524	120.54225202787549	10095.80880905561	579
525	-75.49298400640785	10007.76788255636	129
526	19.774015123483423	10048.383622203879	353
527	-13.994951797671177	10036.874873881601	258
528	97.09100193102145	10094.802536986057	488
529	82.5952439948795	10082.442232982887	497
530	-35.526844926815656	10023.473542241876	229
531	43.70137281628823	10065.050725902665	370
532	-57.12233121095225	10016.022026766177	157
533	62.254840091294994	10062.820416816909	500
534	-12.359063837849376	10036.749045047318	274
535	30.859853132947336	10056.634418097738	375
536	-37.20570432921572	10027.383086502015	190
537	-53.22193674042964	10018.203694571373	163
538	-78.95108743513148	10005.918015831641	127
539	-11.879043022915965	10036.268013407425	260
540	320.3667279447245	135.65460451525033	826
541	-31.012756622597365	10024.695546777537	242
542	-77.44465819319478	10006.29539339724	136
543	-74.7388860753368	10007.437958825445	127
544	-64.2596431622971	10015.149623196015	128
545	319.42083872133634	143.33067122314216	781
546	76.83709323201043	10072.999391849024	497
547	-34.80830897983941	10022.420154987527	241
548	-54.744571605286005	10016.291705447135	171
549	-31.276614004859226	10023.605301390775	249
550	123.1944333642538	10102.24650898548	558
551	-69.78821981449495	10009.819938268074	161
552	-84.95818554746783	10006.570086824955	116
553	-76.06748329424866	10007.425032843445	122
554	-40.5673228057111	10021.717481068228	213
555	146.6310562926202	10117.335983871062	581
556	-16.06873737328229	10038.440967114719	266
557	-47.639129568926506	10018.736291670502	199
558	-1.5876335974394067	10050.713556709434	339
559	46.28524573808605	10058.991792305007	418
560	-59.4483646939103	10014.596953356831	157
561	14.967059898576153	10069.896707122545	384
562	-74.73163432138149	10007.546612762651	136
563	84.58908136735394	10081.33689508179	486
564	62.69178971850093	10068.301903041805	443
565	-27.1442493093176	10034.956804006624	193
566	-79.17069812604086	10006.090133828211	122
567	-17.310702033108754	10031.850067284702	265
568	7.581269522371301	10045.193578674134	323
569	23.495278558962795	10049.910748815755	356
570	-76.90097352602662	10006.756004226732	119
571	-37.44259242995423	10023.873326236355	214
572	-39.950710214850396	10027.503814479183	172
573	-36.93266611106484	10024.061639782587	214
574	-66.99322063283014	10015.937325489735	117
575	79.36570344531992	10083.594681622137	457
576	54.09919468430053	10066.741407399464	415
577	-72.43212347468827	10010.133874897901	122
578	31.65567014754427	10050.229657341923	451
579	19.18186407808723	10048.857944437665	347
580	-18.673964065861554	10026.2463984716	336
581	-74.24620994302101	10009.681600999898	114
582	-71.88855098769726	10008.432373605008	136
583	91.42269225510003	10082.700361070132	520
584	321.41719594576233	146.819668306512	778
585	-67.49603219710407	10014.027983652839	130
586	-37.004748940863344	10027.108041718962	197
587	152.56879387204674	10107.696321718531	669
588	-43.283466152628314	10024.370298188063	174
589	-49.52802879487651	10029.104027975265	244
590	87.1832544253869	10078.984190350187	505
591	3.3668268001202932	10043.45127448622	305
592	-25.88904174209543	10030.817380203405	224
593	-40.90808639127168	10023.817351873593	197
594	-6.25162076121363	10042.235202692238	307
595	96.56852131112842	10090.415854401472	479
596	-71.25072718905245	10012.048521708903	141
597	22.431549282158585	10053.821379638006	327
598	182.73200462229983	10134.363264157315	692
599	140.89123595139156	10110.806664277008	615
600	-80.50256724577616	10005.643828492199	117
601	39.220953083804375	10057.766123087109	407
602	153.8347263871368	10105.45060302715	706
603	-70.48769535856228	10011.301701911436	119
604	199.8609444830837	10129.548451825993	802
605	-79.79518183839501	10006.580291332533	117
606	-82.97801557327432	10006.77771545329	109
607	27.988024923767554	10058.880828645271	326
608	97.42014411549582	10077.330047642263	587
609	321.9418053035835	146.1912042081869	776
610	-27.164242026615753	10034.060393183805	229
611	25.020633068168152	10054.00299578103	344
612	-51.75245096613061	10017.870865544332	183
613	322.00541400899294	142.69992449216892	821
614	85.92713943262032	10083.979047731364	478
615	57.69375210465839	10065.422595969578	442
616	15.951410448432242	10046.741269119942	349
617	-67.03433157767665	10013.892585746085	126
618	320.326460602201	134.47718184594402	845
619	99.77704839156732	10088.703286567872	555
620	-22.65439343528992	10028.140678884422	261
621	191.66930280708527	10134.288985646637	712
622	-69.15530015353897	10012.591155429278	129
623	0.6421517838049056	10041.693860554222	290
624	-80.61257465927432	10006.788865091894	115
625	37.05367224396588	10057.620718907669	393
626	-78.79529634079125	10006.496802118678	119
627	138.93547571925683	10096.331186459367	661
628	37.31490505718574	10055.302060802413	401
629	-83.61853208890797	10005.407150035626	127
630	76.25636105447774	10083.674772963897	429
631	23.72600545452427	10054.302228634235	350
632	104.36975255495608	10082.121627101174	587
633	-0.04000268764347936	10036.093081594681	387
634	-26.27965970508015	10029.794773206888	231
635	190.102824324918	10128.308407292638	744
636	20.993242798593442	10052.572526144279	326
637	140.44009594655762	10112.593413591887	568
638	55.83295636851051	10066.003652755368	441
639	11.697857637491367	10041.616882228076	372
640	-70.34579486374355	10011.588701137232	119
641	178.40193528263808	10122.964789886662	693
642	-0.6011585011092109	10047.234731887822	289
643	3.4082934015603144	10050.743141861629	278
644	91.08685760682835	10089.598740976262	455
645	-58.17396238341667	10014.811551723233	186
646	321.8690776375271	142.06713726465225	801
647	-45.52337552779354	10023.154875313638	195
648	120.01081524660358	10099.134886959164	560
649	7.110999394545971	10042.42164477847	329
650	-79.82390790036942	10006.51581777098	114
651	-89.72066435352818	10013.03148219063	215
652	39.00734830929474	10059.854329759564	380
653	52.232267787641064	10062.180415685945	460
654	112.64460953432857	10097.781981637883	528
655	-63.47032674345436	10014.72651821435	140
656	-17.006656360945016	10040.170854565018	225
657	-17.200129474053185	10042.42042688828	333
658	-73.94706174141983	10008.964166395059	131
659	209.8834434769812	10148.23649997797	709
660	-72.76459314454223	10009.142505231532	126
661	323.6654071426173	145.78650386649113	777
662	-46.973526968837106	10021.619607574208	180
663	-8.482781849343212	10035.415169190574	309
664	-4.227408929234812	10038.775684384795	297
665	215.76020626036455	10143.557237828069	769
666	322.39255687055163	144.27774657009203	791
667	124.71478143716354	10096.429786766703	597
668	76.54878612565454	10077.083569916887	458
669	-76.8989879216471	10007.417147719252	130
